edad,estcivil,ingrmens,educacion,satlab,genero,familia
25,Soltero,2432,Universitario completo,Insatisfecho,Mujer,3
52,Soltero,1785,Bachillerato incompleto,Insatisfecho,Hombre,1
38,Casado,1658,Bachillerato incompleto,Muy insatisfecho,Mujer,2
65,Casado,1674,Bachillerato completo,Neutro,Hombre,2
28,Casado,1848,Universitario incompleto,Neutro,Hombre,2
51,Casado,2164,Bachillerato completo,Neutro,Hombre,4
61,Casado,2685,Bachillerato completo,Neutro,Hombre,2
46,Casado,3459,Post-universitario,Muy satisfecho,Hombre,3
43,Casado,3080,Bachillerato completo,Neutro,Mujer,2
28,Soltero,1737,Universitario incompleto,Insatisfecho,Hombre,1
39,Soltero,2259,Universitario incompleto,Insatisfecho,Mujer,1
37,Soltero,1737,Universitario incompleto,Muy insatisfecho,Hombre,2
59,Casado,1864,Bachillerato completo,Muy insatisfecho,Hombre,2
55,Soltero,2385,Universitario completo,Satisfecho,Mujer,1
51,Casado,2464,Universitario incompleto,Neutro,Hombre,2
48,Casado,6430,Post-universitario,Satisfecho,Hombre,2
40,Soltero,2480,Universitario incompleto,Insatisfecho,Hombre,3
28,Soltero,1911,Universitario incompleto,Muy satisfecho,Mujer,1
39,Casado,2701,Bachillerato completo,Muy satisfecho,Hombre,6
30,Casado,1674,Universitario incompleto,Satisfecho,Mujer,4
40,Casado,1879,Universitario incompleto,Muy satisfecho,Mujer,4
55,Soltero,1911,Universitario completo,Insatisfecho,Mujer,1
48,Casado,2148,Bachillerato completo,Neutro,Mujer,4
48,Casado,18991,Universitario completo,Muy satisfecho,Hombre,4
49,Casado,2764,Bachillerato completo,Muy satisfecho,Mujer,2
56,Soltero,7299,Bachillerato incompleto,Muy satisfecho,Mujer,1
44,Soltero,2211,Bachillerato incompleto,Neutro,Hombre,1
43,Soltero,2432,Bachillerato completo,Neutro,Hombre,2
61,Casado,3207,Universitario completo,Satisfecho,Mujer,3
37,Soltero,1816,Post-universitario,Satisfecho,Hombre,1
29,Casado,1753,Bachillerato completo,Insatisfecho,Hombre,2
30,Casado,1785,Bachillerato incompleto,Insatisfecho,Mujer,4
48,Soltero,3396,Universitario incompleto,Muy satisfecho,Hombre,1
51,Casado,3570,Bachillerato incompleto,Satisfecho,Hombre,2
40,Casado,2259,Universitario completo,Neutro,Hombre,2
66,Casado,1832,Bachillerato incompleto,Satisfecho,Mujer,4
61,Casado,1721,Bachillerato completo,Satisfecho,Hombre,3
61,Casado,2369,Universitario incompleto,Muy satisfecho,Mujer,2
32,Casado,1769,Universitario incompleto,Satisfecho,Hombre,6
25,Soltero,1785,Bachillerato completo,Muy insatisfecho,Hombre,1
47,Soltero,1800,Universitario incompleto,Neutro,Hombre,5
59,Casado,4660,Bachillerato completo,Muy satisfecho,Mujer,2
25,Casado,1785,Bachillerato completo,Muy insatisfecho,Mujer,3
63,Casado,8910,Bachillerato incompleto,Satisfecho,Hombre,2
41,Soltero,2132,Universitario completo,Insatisfecho,Hombre,2
66,Soltero,1832,Bachillerato completo,Insatisfecho,Hombre,1
20,Soltero,1927,Universitario incompleto,Insatisfecho,Hombre,1
47,Casado,2338,Universitario incompleto,Neutro,Hombre,3
42,Soltero,2132,Bachillerato incompleto,Neutro,Mujer,3
35,Casado,2132,Universitario completo,Satisfecho,Mujer,4
24,Soltero,1721,Universitario completo,Neutro,Hombre,1
22,Soltero,1721,Universitario completo,Neutro,Mujer,1
32,Casado,2290,Post-universitario,Insatisfecho,Hombre,4
50,Casado,2274,Bachillerato incompleto,Muy satisfecho,Hombre,2
44,Casado,2085,Bachillerato incompleto,Satisfecho,Hombre,2
32,Soltero,1848,Universitario completo,Muy insatisfecho,Hombre,2
65,Soltero,1990,Bachillerato incompleto,Satisfecho,Mujer,1
47,Casado,4218,Bachillerato completo,Satisfecho,Mujer,2
42,Soltero,2195,Universitario completo,Insatisfecho,Mujer,1
48,Soltero,3633,Bachillerato completo,Insatisfecho,Mujer,1
29,Soltero,1706,Universitario completo,Insatisfecho,Hombre,1
36,Soltero,2037,Bachillerato completo,Muy insatisfecho,Hombre,2
34,Soltero,1721,Bachillerato completo,Satisfecho,Mujer,1
41,Soltero,2432,Universitario completo,Muy insatisfecho,Mujer,2
26,Soltero,2006,Bachillerato completo,Muy insatisfecho,Hombre,3
25,Soltero,1721,Universitario completo,Muy insatisfecho,Hombre,2
53,Soltero,3649,Bachillerato completo,Muy satisfecho,Hombre,1
32,Casado,1879,Bachillerato completo,Neutro,Mujer,2
46,Soltero,2669,Bachillerato completo,Insatisfecho,Mujer,3
44,Casado,1974,Bachillerato incompleto,Muy satisfecho,Mujer,6
39,Soltero,2022,Universitario completo,Muy insatisfecho,Mujer,1
39,Casado,2037,Bachillerato incompleto,Satisfecho,Mujer,2
40,Soltero,1958,Universitario completo,Neutro,Mujer,1
25,Soltero,2290,Universitario completo,Insatisfecho,Mujer,1
29,Casado,2259,Bachillerato completo,Insatisfecho,Hombre,4
23,Soltero,1737,Universitario completo,Muy insatisfecho,Hombre,1
48,Soltero,2069,Bachillerato incompleto,Neutro,Hombre,1
24,Soltero,1706,Bachillerato completo,Insatisfecho,Hombre,1
59,Soltero,1832,Universitario incompleto,Muy insatisfecho,Hombre,3
31,Casado,1832,Bachillerato completo,Muy insatisfecho,Mujer,4
70,Soltero,1690,Bachillerato completo,Insatisfecho,Mujer,1
37,Soltero,2164,Universitario completo,Muy insatisfecho,Hombre,6
59,Casado,2037,Universitario incompleto,Neutro,Mujer,4
38,Soltero,1832,Universitario completo,Muy insatisfecho,Mujer,2
56,Soltero,1943,Universitario incompleto,Neutro,Hombre,1
48,Casado,1721,Bachillerato incompleto,Satisfecho,Mujer,2
28,Casado,1611,Universitario completo,Muy insatisfecho,Hombre,3
20,Casado,1658,Bachillerato completo,Satisfecho,Hombre,8
68,Soltero,1706,Bachillerato completo,Neutro,Hombre,1
26,Soltero,1958,Universitario completo,Muy insatisfecho,Hombre,1
29,Casado,2527,Universitario completo,Muy satisfecho,Mujer,4
23,Casado,1563,Bachillerato completo,Muy insatisfecho,Hombre,4
61,Soltero,2006,Universitario incompleto,Satisfecho,Hombre,1
39,Soltero,2116,Bachillerato incompleto,Insatisfecho,Mujer,1
47,Casado,4139,Universitario completo,Insatisfecho,Mujer,3
36,Soltero,1990,Universitario completo,Insatisfecho,Hombre,1
61,Soltero,14583,Bachillerato completo,Muy satisfecho,Hombre,1
32,Casado,2480,Universitario completo,Insatisfecho,Hombre,2
28,Casado,1832,Universitario completo,Insatisfecho,Hombre,4
66,Casado,2022,Bachillerato completo,Insatisfecho,Mujer,2
35,Casado,2164,Bachillerato incompleto,Satisfecho,Hombre,2
55,Casado,6920,Universitario completo,Satisfecho,Hombre,4
47,Soltero,3286,Universitario completo,Muy satisfecho,Mujer,1
34,Casado,1958,Universitario incompleto,Insatisfecho,Hombre,5
29,Soltero,2417,Bachillerato completo,Insatisfecho,Hombre,1
36,Soltero,1848,Universitario incompleto,Muy insatisfecho,Hombre,3
38,Casado,2164,Universitario incompleto,Insatisfecho,Hombre,4
33,Casado,1911,Universitario completo,Neutro,Hombre,5
46,Casado,2748,Bachillerato completo,Satisfecho,Mujer,2
29,Soltero,2306,Universitario completo,Neutro,Mujer,1
38,Casado,2195,Universitario incompleto,Muy insatisfecho,Mujer,6
38,Soltero,2022,Bachillerato completo,Insatisfecho,Hombre,1
39,Casado,1816,Bachillerato incompleto,Neutro,Mujer,2
34,Casado,2338,Post-universitario,Satisfecho,Hombre,7
58,Casado,2085,Bachillerato completo,Insatisfecho,Hombre,2
29,Soltero,1848,Bachillerato incompleto,Insatisfecho,Mujer,2
64,Soltero,1611,Universitario completo,Insatisfecho,Hombre,1
41,Soltero,1927,Universitario incompleto,Insatisfecho,Hombre,2
44,Soltero,1753,Bachillerato incompleto,Muy insatisfecho,Mujer,2
60,Casado,2654,Bachillerato incompleto,Neutro,Mujer,2
32,Soltero,1753,Universitario completo,Satisfecho,Mujer,2
35,Soltero,1943,Universitario incompleto,Satisfecho,Hombre,1
58,Casado,1658,Bachillerato completo,Muy insatisfecho,Hombre,2
37,Soltero,1832,Bachillerato completo,Satisfecho,Mujer,1
63,Casado,4644,Bachillerato completo,Satisfecho,Mujer,2
22,Casado,1753,Universitario incompleto,Satisfecho,Mujer,4
66,Casado,2496,Bachillerato completo,Insatisfecho,Mujer,3
26,Soltero,1658,Bachillerato incompleto,Muy insatisfecho,Hombre,1
44,Soltero,3001,Bachillerato completo,Satisfecho,Mujer,1
41,Soltero,1753,Bachillerato completo,Neutro,Mujer,1
26,Casado,1595,Bachillerato incompleto,Insatisfecho,Hombre,3
48,Soltero,7220,Universitario completo,Insatisfecho,Mujer,1
45,Soltero,3491,Bachillerato incompleto,Neutro,Mujer,1
26,Casado,2148,Bachillerato completo,Satisfecho,Hombre,5
31,Soltero,1706,Bachillerato incompleto,Muy satisfecho,Mujer,1
54,Casado,6951,Bachillerato completo,Muy satisfecho,Hombre,3
34,Casado,1958,Universitario completo,Muy satisfecho,Hombre,5
32,Casado,2069,Bachillerato incompleto,Neutro,Hombre,4
35,Soltero,1864,Bachillerato completo,Insatisfecho,Mujer,2
22,Casado,1864,Bachillerato completo,Muy insatisfecho,Hombre,4
25,Soltero,1832,Universitario incompleto,Muy satisfecho,Hombre,2
59,Casado,2985,Bachillerato completo,Muy satisfecho,Mujer,2
28,Casado,1595,Post-universitario,Insatisfecho,Mujer,6
37,Casado,2180,Bachillerato completo,Muy insatisfecho,Mujer,3
43,Soltero,1816,Bachillerato incompleto,Neutro,Hombre,2
42,Casado,2448,Bachillerato completo,Muy satisfecho,Mujer,4
35,Soltero,1958,Bachillerato completo,Neutro,Mujer,1
22,Soltero,1864,Bachillerato incompleto,Neutro,Hombre,2
55,Soltero,6066,Universitario completo,Muy satisfecho,Hombre,3
63,Soltero,1532,Bachillerato incompleto,Neutro,Hombre,1
40,Casado,2322,Universitario incompleto,Satisfecho,Hombre,2
29,Soltero,2290,Bachillerato incompleto,Insatisfecho,Hombre,1
32,Casado,2180,Bachillerato incompleto,Satisfecho,Mujer,2
47,Soltero,3538,Universitario completo,Insatisfecho,Hombre,5
42,Soltero,1800,Universitario incompleto,Muy insatisfecho,Mujer,1
50,Soltero,1721,Bachillerato incompleto,Muy satisfecho,Mujer,1
52,Casado,1895,Universitario incompleto,Insatisfecho,Mujer,2
33,Casado,1769,Bachillerato incompleto,Muy satisfecho,Mujer,3
54,Soltero,5877,Universitario completo,Neutro,Hombre,1
37,Casado,1864,Bachillerato incompleto,Muy satisfecho,Mujer,3
57,Casado,6209,Universitario completo,Satisfecho,Mujer,3
70,Casado,1532,Bachillerato completo,Muy satisfecho,Hombre,2
23,Casado,1579,Universitario completo,Neutro,Mujer,4
55,Soltero,4455,Universitario incompleto,Satisfecho,Mujer,1
48,Soltero,2638,Bachillerato completo,Insatisfecho,Hombre,1
38,Soltero,1990,Bachillerato completo,Satisfecho,Hombre,1
47,Casado,2385,Bachillerato incompleto,Satisfecho,Hombre,2
29,Soltero,1690,Universitario completo,Muy insatisfecho,Hombre,2
27,Casado,1769,Universitario incompleto,Muy insatisfecho,Hombre,4
29,Casado,1990,Universitario incompleto,Insatisfecho,Mujer,4
28,Soltero,1769,Bachillerato incompleto,Insatisfecho,Hombre,1
47,Casado,2227,Universitario incompleto,Satisfecho,Mujer,5
45,Casado,1706,Universitario incompleto,Muy insatisfecho,Mujer,2
24,Soltero,1658,Universitario incompleto,Muy insatisfecho,Hombre,3
41,Casado,4581,Bachillerato completo,Muy satisfecho,Mujer,4
18,Soltero,1563,Bachillerato completo,Muy insatisfecho,Hombre,2
42,Soltero,3570,Universitario incompleto,Neutro,Mujer,1
45,Casado,2085,Universitario completo,Insatisfecho,Hombre,2
34,Casado,1990,Post-universitario,Muy insatisfecho,Mujer,6
38,Casado,3017,Universitario incompleto,Satisfecho,Mujer,4
36,Soltero,3523,Universitario completo,Muy satisfecho,Hombre,3
19,Casado,1611,Bachillerato completo,Muy insatisfecho,Mujer,6
28,Soltero,1737,Bachillerato incompleto,Neutro,Mujer,2
41,Casado,1864,Bachillerato completo,Satisfecho,Hombre,2
54,Soltero,2101,Universitario completo,Satisfecho,Mujer,1
42,Soltero,4629,Universitario incompleto,Muy satisfecho,Mujer,2
47,Casado,3222,Universitario completo,Muy satisfecho,Hombre,2
61,Soltero,5908,Universitario completo,Muy satisfecho,Mujer,1
66,Casado,1563,Bachillerato incompleto,Muy satisfecho,Hombre,2
51,Casado,2511,Universitario incompleto,Satisfecho,Hombre,3
55,Soltero,1879,Bachillerato incompleto,Insatisfecho,Mujer,1
36,Casado,1800,Universitario incompleto,Insatisfecho,Hombre,2
39,Casado,2353,Universitario incompleto,Satisfecho,Hombre,3
38,Soltero,1832,Universitario completo,Muy insatisfecho,Hombre,1
44,Casado,2764,Universitario incompleto,Satisfecho,Mujer,2
52,Casado,2590,Bachillerato incompleto,Muy satisfecho,Mujer,2
55,Soltero,17869,Post-universitario,Muy satisfecho,Mujer,1
58,Casado,2891,Bachillerato incompleto,Muy satisfecho,Hombre,4
61,Soltero,3238,Bachillerato completo,Satisfecho,Hombre,1
64,Soltero,1516,Bachillerato incompleto,Insatisfecho,Mujer,1
45,Casado,5182,Universitario incompleto,Muy satisfecho,Mujer,4
66,Soltero,6619,Bachillerato incompleto,Muy satisfecho,Hombre,1
31,Soltero,1816,Bachillerato completo,Muy insatisfecho,Mujer,1
31,Soltero,1769,Bachillerato completo,Satisfecho,Hombre,2
36,Casado,2243,Universitario completo,Muy satisfecho,Hombre,6
20,Soltero,1690,Universitario incompleto,Muy insatisfecho,Mujer,3
40,Casado,1911,Universitario incompleto,Muy satisfecho,Mujer,2
38,Casado,1990,Bachillerato completo,Insatisfecho,Hombre,2
51,Soltero,2764,Bachillerato completo,Satisfecho,Hombre,1
47,Soltero,1927,Bachillerato incompleto,Muy satisfecho,Mujer,1
31,Casado,1864,Universitario incompleto,Satisfecho,Mujer,2
34,Soltero,2053,Universitario completo,Muy insatisfecho,Mujer,1
35,Casado,2006,Bachillerato completo,Neutro,Hombre,3
66,Soltero,2069,Bachillerato incompleto,Muy satisfecho,Hombre,1
63,Soltero,3222,Bachillerato incompleto,Muy satisfecho,Mujer,1
34,Casado,2970,Universitario completo,Insatisfecho,Mujer,4
37,Casado,1848,Universitario incompleto,Neutro,Mujer,5
34,Casado,1943,Bachillerato incompleto,Muy satisfecho,Hombre,2
36,Casado,3080,Universitario completo,Muy insatisfecho,Hombre,2
42,Soltero,2022,Universitario completo,Satisfecho,Hombre,1
63,Soltero,3617,Bachillerato incompleto,Muy satisfecho,Mujer,1
30,Casado,2148,Universitario completo,Muy satisfecho,Mujer,4
58,Casado,5782,Bachillerato incompleto,Satisfecho,Mujer,6
36,Soltero,1943,Bachillerato completo,Neutro,Mujer,1
53,Casado,7567,Universitario incompleto,Satisfecho,Mujer,2
43,Soltero,2717,Universitario completo,Insatisfecho,Mujer,1
33,Soltero,1737,Universitario completo,Satisfecho,Mujer,1
37,Casado,2748,Universitario completo,Neutro,Mujer,3
43,Casado,2401,Universitario incompleto,Neutro,Mujer,2
45,Soltero,4455,Universitario incompleto,Satisfecho,Mujer,1
37,Soltero,1785,Universitario incompleto,Neutro,Mujer,1
19,Soltero,1595,Bachillerato completo,Muy insatisfecho,Hombre,3
55,Soltero,2401,Bachillerato completo,Insatisfecho,Hombre,4
40,Soltero,2843,Bachillerato completo,Muy satisfecho,Hombre,1
61,Soltero,1532,Universitario incompleto,Insatisfecho,Mujer,1
25,Casado,1674,Bachillerato incompleto,Insatisfecho,Mujer,3
35,Soltero,3191,Post-universitario,Neutro,Hombre,1
60,Soltero,2037,Bachillerato incompleto,Insatisfecho,Hombre,1
37,Soltero,2211,Post-universitario,Muy satisfecho,Hombre,1
38,Soltero,2559,Universitario incompleto,Satisfecho,Mujer,1
46,Soltero,1927,Bachillerato completo,Insatisfecho,Mujer,1
43,Soltero,2243,Universitario completo,Satisfecho,Hombre,1
40,Casado,2148,Universitario completo,Neutro,Hombre,6
34,Soltero,1706,Universitario incompleto,Insatisfecho,Mujer,1
40,Casado,1879,Post-universitario,Insatisfecho,Hombre,3
44,Casado,2006,Post-universitario,Muy insatisfecho,Mujer,6
28,Casado,2006,Bachillerato completo,Muy insatisfecho,Hombre,5
47,Casado,2385,Universitario completo,Satisfecho,Hombre,3
23,Casado,1753,Universitario incompleto,Muy insatisfecho,Hombre,3
51,Casado,1879,Bachillerato completo,Insatisfecho,Hombre,2
39,Casado,1721,Bachillerato incompleto,Satisfecho,Hombre,2
54,Casado,2322,Bachillerato incompleto,Muy satisfecho,Mujer,2
54,Soltero,6319,Universitario incompleto,Muy satisfecho,Mujer,1
28,Soltero,2022,Bachillerato completo,Neutro,Hombre,4
26,Casado,1769,Post-universitario,Muy insatisfecho,Mujer,2
42,Casado,2274,Post-universitario,Insatisfecho,Mujer,4
44,Casado,1990,Bachillerato incompleto,Satisfecho,Mujer,2
41,Casado,2037,Universitario incompleto,Muy satisfecho,Mujer,5
40,Casado,1879,Bachillerato incompleto,Satisfecho,Hombre,2
39,Casado,2180,Bachillerato completo,Satisfecho,Mujer,3
35,Soltero,2259,Universitario incompleto,Satisfecho,Hombre,1
45,Casado,3617,Universitario incompleto,Satisfecho,Mujer,2
48,Casado,2243,Universitario completo,Muy satisfecho,Mujer,6
71,Soltero,2448,Bachillerato incompleto,Neutro,Mujer,1
31,Soltero,1895,Bachillerato completo,Satisfecho,Hombre,1
50,Casado,6825,Post-universitario,Muy insatisfecho,Hombre,2
55,Soltero,3997,Post-universitario,Muy satisfecho,Hombre,2
32,Casado,1785,Bachillerato completo,Muy insatisfecho,Hombre,4
51,Soltero,3349,Bachillerato completo,Satisfecho,Mujer,1
52,Soltero,2085,Bachillerato completo,Satisfecho,Hombre,1
46,Soltero,1879,Universitario incompleto,Neutro,Mujer,1
49,Soltero,6872,Universitario incompleto,Satisfecho,Hombre,1
48,Soltero,1990,Bachillerato incompleto,Muy insatisfecho,Hombre,2
23,Soltero,1674,Universitario completo,Muy insatisfecho,Mujer,1
52,Casado,2511,Bachillerato incompleto,Satisfecho,Mujer,3
50,Soltero,2401,Universitario incompleto,Muy satisfecho,Hombre,1
60,Casado,2970,Bachillerato completo,Muy satisfecho,Mujer,2
21,Soltero,1579,Bachillerato completo,Insatisfecho,Hombre,4
36,Casado,2069,Post-universitario,Neutro,Hombre,2
49,Soltero,2148,Bachillerato incompleto,Neutro,Hombre,1
48,Casado,3301,Universitario completo,Neutro,Hombre,6
25,Soltero,2369,Universitario incompleto,Neutro,Mujer,3
35,Casado,1800,Bachillerato completo,Insatisfecho,Mujer,3
49,Soltero,2970,Post-universitario,Muy insatisfecho,Mujer,1
47,Casado,3049,Universitario completo,Muy satisfecho,Hombre,3
27,Soltero,1769,Bachillerato completo,Neutro,Mujer,3
34,Casado,1737,Bachillerato completo,Insatisfecho,Mujer,7
36,Casado,1832,Bachillerato incompleto,Muy insatisfecho,Mujer,5
50,Casado,1943,Bachillerato incompleto,Satisfecho,Hombre,2
29,Soltero,1800,Post-universitario,Satisfecho,Mujer,1
33,Casado,1690,Bachillerato incompleto,Neutro,Hombre,3
42,Soltero,1769,Bachillerato incompleto,Neutro,Hombre,1
33,Casado,1721,Bachillerato incompleto,Neutro,Hombre,4
30,Casado,1864,Universitario incompleto,Muy insatisfecho,Hombre,3
51,Soltero,3665,Bachillerato incompleto,Muy satisfecho,Hombre,1
27,Soltero,1800,Universitario incompleto,Muy insatisfecho,Hombre,1
29,Soltero,1611,Universitario incompleto,Satisfecho,Hombre,1
32,Soltero,1943,Universitario completo,Muy insatisfecho,Hombre,1
44,Casado,1848,Bachillerato incompleto,Muy satisfecho,Hombre,4
34,Casado,3128,Universitario completo,Muy satisfecho,Hombre,5
20,Casado,1864,Universitario incompleto,Muy insatisfecho,Mujer,2
49,Soltero,2590,Bachillerato incompleto,Neutro,Hombre,1
34,Soltero,2938,Universitario completo,Muy satisfecho,Mujer,1
34,Casado,1832,Bachillerato completo,Neutro,Hombre,2
31,Soltero,2164,Bachillerato completo,Muy satisfecho,Mujer,1
39,Casado,5118,Universitario completo,Muy satisfecho,Mujer,2
33,Casado,2022,Universitario completo,Neutro,Hombre,6
54,Casado,2448,Bachillerato incompleto,Insatisfecho,Mujer,6
31,Soltero,2306,Universitario completo,Insatisfecho,Mujer,1
34,Soltero,2480,Bachillerato incompleto,Neutro,Mujer,2
29,Casado,1800,Universitario completo,Satisfecho,Mujer,4
24,Soltero,1595,Bachillerato incompleto,Satisfecho,Hombre,1
49,Casado,3791,Bachillerato completo,Muy satisfecho,Mujer,6
19,Casado,1579,Bachillerato incompleto,Satisfecho,Mujer,3
49,Soltero,1911,Bachillerato incompleto,Muy satisfecho,Mujer,1
40,Soltero,2148,Universitario completo,Insatisfecho,Hombre,1
28,Soltero,2527,Post-universitario,Muy insatisfecho,Mujer,1
36,Casado,3412,Universitario incompleto,Muy satisfecho,Mujer,5
46,Soltero,2085,Universitario completo,Muy satisfecho,Hombre,1
24,Casado,1753,Universitario incompleto,Insatisfecho,Mujer,6
38,Casado,2590,Universitario incompleto,Neutro,Hombre,4
31,Soltero,1800,Universitario incompleto,Muy satisfecho,Hombre,1
37,Soltero,2274,Bachillerato completo,Insatisfecho,Hombre,2
58,Soltero,1627,Post-universitario,Neutro,Hombre,1
37,Soltero,1848,Post-universitario,Neutro,Mujer,2
73,Soltero,1532,Bachillerato incompleto,Neutro,Hombre,1
44,Soltero,1785,Bachillerato completo,Neutro,Mujer,1
66,Soltero,2432,Bachillerato completo,Neutro,Mujer,1
50,Soltero,2464,Bachillerato completo,Satisfecho,Mujer,1
30,Soltero,1753,Universitario completo,Insatisfecho,Hombre,1
41,Soltero,1800,Universitario incompleto,Muy insatisfecho,Mujer,2
57,Soltero,3617,Bachillerato incompleto,Muy satisfecho,Hombre,1
71,Soltero,3681,Universitario completo,Satisfecho,Hombre,1
53,Casado,2638,Bachillerato completo,Satisfecho,Hombre,2
38,Soltero,2243,Bachillerato completo,Neutro,Mujer,1
46,Soltero,3159,Universitario completo,Insatisfecho,Hombre,1
61,Soltero,1816,Bachillerato completo,Muy insatisfecho,Mujer,2
48,Casado,1800,Bachillerato incompleto,Neutro,Mujer,5
35,Casado,1658,Post-universitario,Muy satisfecho,Mujer,4
55,Casado,6809,Universitario completo,Satisfecho,Mujer,3
51,Soltero,3617,Bachillerato completo,Neutro,Hombre,2
45,Soltero,2322,Bachillerato completo,Insatisfecho,Mujer,1
50,Casado,2717,Universitario incompleto,Satisfecho,Hombre,2
36,Soltero,2132,Bachillerato incompleto,Satisfecho,Mujer,2
44,Casado,2132,Bachillerato incompleto,Satisfecho,Mujer,3
38,Soltero,1753,Bachillerato completo,Muy insatisfecho,Hombre,1
50,Soltero,2322,Universitario completo,Satisfecho,Mujer,1
37,Soltero,2259,Bachillerato completo,Satisfecho,Hombre,1
48,Soltero,4534,Universitario completo,Muy insatisfecho,Mujer,1
46,Casado,1911,Bachillerato incompleto,Muy insatisfecho,Hombre,2
51,Soltero,2164,Universitario incompleto,Muy insatisfecho,Hombre,1
22,Casado,1690,Universitario completo,Muy insatisfecho,Mujer,7
72,Soltero,1627,Bachillerato incompleto,Muy satisfecho,Hombre,1
61,Soltero,1721,Universitario incompleto,Neutro,Mujer,1
40,Casado,1816,Universitario incompleto,Neutro,Hombre,4
49,Soltero,1974,Bachillerato incompleto,Satisfecho,Hombre,1
43,Casado,2796,Bachillerato completo,Satisfecho,Hombre,4
26,Soltero,1848,Bachillerato incompleto,Satisfecho,Mujer,1
41,Casado,3760,Bachillerato incompleto,Insatisfecho,Mujer,4
44,Casado,1990,Bachillerato incompleto,Neutro,Hombre,2
27,Soltero,2970,Universitario completo,Muy insatisfecho,Hombre,2
48,Soltero,2906,Universitario completo,Insatisfecho,Mujer,1
44,Casado,1974,Universitario incompleto,Insatisfecho,Mujer,4
53,Soltero,5371,Universitario completo,Satisfecho,Mujer,1
41,Soltero,2480,Universitario completo,Satisfecho,Mujer,1
63,Soltero,3222,Bachillerato completo,Neutro,Hombre,1
29,Casado,2022,Bachillerato incompleto,Muy satisfecho,Hombre,3
39,Soltero,2638,Bachillerato completo,Neutro,Mujer,1
